都道府県番号,都道府県枝番,予選地区名,年代順,年代,公立普通校校数,公立普通校校数が全体に占める割合,公立実業校校数,公立実業校校数が全体に占める割合,私立校校数,私立校校数が全体に占める割合,公私の画期
44,0,大分,計,計,59,40.4 ,53,36.3 ,34,23.3 ,
45,0,宮崎,Ⅰ,1948～1960,25,96.2 ,1,3.8 ,0,0.0 ,
45,0,宮崎,Ⅱ,1961～1975,15,50.0 ,11,36.7 ,4,13.3 ,
45,0,宮崎,Ⅲ,1976～1990,11,36.7 ,6,20.0 ,13,43.3 ,
45,0,宮崎,Ⅳ,1991～2005,3,10.0 ,6,20.0 ,21,70.0 ,○
45,0,宮崎,Ⅴ,2006～2019,0,0.0 ,7,25.0 ,21,75.0 ,
45,0,宮崎,Ⅵ,2021,,,1,,1,,
45,0,宮崎,計,計,54,37.0 ,32,21.9 ,60,41.1 ,
46,0,鹿児島,Ⅰ,1948～1960,11,42.3 ,9,34.6 ,6,23.1 ,
46,0,鹿児島,Ⅱ,1961～1975,6,20.0 ,11,36.7 ,13,43.3 ,
46,0,鹿児島,Ⅲ,1976～1990,3,10.0 ,8,26.7 ,19,63.3 ,○
46,0,鹿児島,Ⅳ,1991～2005,4,13.3 ,4,13.3 ,22,73.3 ,
46,0,鹿児島,Ⅴ,2006～2019,2,7.1 ,2,7.1 ,24,85.7 ,
46,0,鹿児島,Ⅵ,2021,,,,,2,,
46,0,鹿児島,計,計,26,17.8 ,34,23.3 ,86,58.9 ,
47,0,沖縄,Ⅰ,1948～1960,12,66.7 ,6,33.3 ,0,0.0 ,
47,0,沖縄,Ⅱ,1961～1975,20,66.7 ,3,10.0 ,7,23.3 ,
47,0,沖縄,Ⅲ,1976～1990,12,40.0 ,8,26.7 ,10,33.3 ,
47,0,沖縄,Ⅳ,1991～2005,6,20.0 ,19,63.3 ,5,16.7 ,
47,0,沖縄,Ⅴ,2006～2019,6,21.4 ,10,35.7 ,12,42.9 ,
47,0,沖縄,Ⅵ,2021,,,1,,1,,
47,0,沖縄,計,計,56,40.6 ,47,34.1 ,35,25.4 ,×
,,,,,,,,,,,
